Country x Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lesotho,2.974611916,4.210219943,5.949223832,8.237386845,10.98318246,12.35608027,12.81371287,12.81371287,12.81371287,12.81371287,12.35608027,12.35608027,12.35608027,11.89844766,11.44081506,11.44081506,10.98318246,10.52554986,10.06791725,9.15265205,8.695019447,8.237386845,8.695019447,8.237386845,8.237386845,8.237386845
Liberia,0.549632095,0.570771791,0.655330575,0.718749663,0.782168751,0.824448143,0.972426015,1.035845103,1.056984799,1.035845103,0.951286319,0.887867231,0.803308447,0.697609967,0.591911487,0.528492399,0.465073311,0.422793919,0.380514528,0.380514528,0.359374832,0.359374832,0.359374832,0.359374832,0.359374832,0.338235136
Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madagascar,0.039042716,0.050755531,0.078085433,0.109319606,0.148362322,0.19130931,0.242064841,0.269394743,0.281107558,0.288916101,0.269394743,0.226447755,0.179596495,0.14445805,0.109319606,0.093702519,0.085893976,0.085893976,0.093702519,0.105415334,0.128840964,0.14445805,0.163979409,0.19130931,0.218639211,0.245969113
Malawi,6.011362897,6.557850433,6.557850433,6.557850433,6.557850433,6.011362897,6.011362897,6.011362897,6.011362897,5.464875361,5.3009291,5.082334085,4.863739071,4.590495303,4.426549042,4.153305274,3.93471026,3.716115245,3.442871477,3.278925216,3.060330202,2.787086434,2.459193912,2.240598898,2.022003883,1.803408869
Malaysia,0.250287373,0.641762495,0.609674371,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.417145622,0.385057497,0.385057497,0.352969372,0.352969372,0.352969372,0.314463623,0.295210748,0.272749061,0.250287373,0.227825686,0.205363999,0.189319936,0.166858249
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mali,0.856074324,0.856074324,0.749065033,0.749065033,0.642055743,0.588551097,0.518995059,0.476191342,0.454789484,0.460139949,0.44943902,0.444088555,0.460139949,0.465490413,0.481541807,0.476191342,0.470840878,0.497593201,0.518995059,0.529695988,0.518995059,0.50829413,0.492242736,0.502943665,0.535046452,0.535046452
Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
