"name",12/13,13/14,14/15,15/16,16/17,17/18
"Emil Riis",NaN,NaN,NaN,0.0,20.0,10.0
"Leroy Sané",17.0,38.0,27.0,42.0,37.0,39.0
"Raheem Sterling",38.0,39.0,52.0,47.0,47.0,36.0
"Bernardo Silva",NaN,41.0,45.0,44.0,58.0,44.0
"Sergio Agüero",40.0,34.0,42.0,44.0,45.0,37.0
"Gabriel Jesus",NaN,NaN,20.0,28.0,11.0,31.0
"Alexis Sánchez",46.0,54.0,52.0,41.0,51.0,31.0
"Anthony Martial",4.0,15.0,48.0,56.0,42.0,38.0
"Jesse Lingard",27.0,39.0,18.0,41.0,42.0,37.0
"Romelu Lukaku",38.0,36.0,48.0,46.0,39.0,42.0
"Marcus Rashford",NaN,NaN,1.0,31.0,53.0,40.0
"Zlatan Ibrahimovic",46.0,46.0,37.0,51.0,46.0,7.0
"Heung-Min Son",34.0,43.0,42.0,42.0,47.0,43.0
"Lucas",15.0,53.0,46.0,56.0,53.0,11.0
"Érik Lamela",36.0,17.0,46.0,44.0,14.0,24.0
"Harry Kane",27.0,27.0,51.0,50.0,38.0,39.0
"Fernando Llorente",36.0,45.0,45.0,38.0,35.0,28.0
"Eden Hazard",62.0,49.0,52.0,43.0,43.0,40.0
"Pedro",45.0,54.0,50.0,43.0,43.0,38.0
"Willian",35.0,46.0,49.0,49.0,41.0,44.0
"Álvaro Morata",33.0,34.0,46.0,47.0,43.0,37.0
"Olivier Giroud",47.0,51.0,36.0,53.0,40.0,32.0
"Sadio Mané",30.0,50.0,40.0,43.0,29.0,32.0
"Ben Woodburn",NaN,NaN,NaN,2.0,24.0,16.0
"Mohamed Salah",50.0,40.0,34.0,42.0,41.0,40.0
"Danny Ings",33.0,45.0,37.0,9.0,6.0,16.0
"Dominic Solanke",NaN,7.0,34.0,27.0,5.0,23.0
"Alex Iwobi",NaN,17.0,25.0,34.0,39.0,30.0
"Pierre-Emerick Aubameyang",45.0,48.0,46.0,49.0,46.0,30.0
"Alexandre Lacazette",37.0,54.0,40.0,44.0,45.0,29.0
"Danny Welbeck",40.0,36.0,37.0,16.0,22.0,30.0
"Yannick Bolasie",48.0,30.0,35.0,31.0,16.0,11.0
"Theo Walcott",43.0,18.0,22.0,42.0,37.0,23.0
"Cenk Tosun",35.0,32.0,28.0,43.0,47.0,30.0
"Dominic Calvert-Lewin",NaN,0.0,2.0,35.0,21.0,40.0
"Oumar Niasse",NaN,40.0,19.0,30.0,25.0,22.0
"Nathan Redmond",42.0,39.0,47.0,37.0,50.0,28.0
"Dusan Tadic",51.0,34.0,37.0,40.0,44.0,31.0
"Josh Sims",NaN,5.0,19.0,20.0,30.0,10.0
"Manolo Gabbiadini",31.0,35.0,45.0,30.0,31.0,28.0
"Charlie Austin",40.0,37.0,36.0,23.0,22.0,17.0
"Shane Long",37.0,32.0,41.0,34.0,45.0,25.0
"Guido Carrillo",28.0,43.0,37.0,40.0,31.0,32.0
