"name",12/13,13/14,14/15,15/16,16/17,17/18
"Raul Rusescu",12,2,4,2,3,NaN
"Mehmet Batdal",6,8,0,6,1,1
"Ali ĂzgĂźn",NaN,NaN,3,0,0,NaN
"Maicón",3,7,2,3,2,4
"Milan Jevtovic",0,0,6,5,8,1
"Souleymane Doukara",0,2,3,2,4,3
"Moestafa El Kabir",3,3,11,3,2,1
"Deniz Kadah",2,0,3,3,3,3
"Emre Güral",1,1,0,3,0,0
"Daniel Larsson",1,2,2,2,2,2
"Onur Ayik",6,5,4,1,3,3
"Geoffrey Bia",0,13,7,5,1,0
"Paulo Henrique",3,15,1,NaN,0,3
"Evgen Seleznev",8,3,2,2,2,3
"Marvin Emnes",3,7,1,1,9,2
"Mugdat Celik",0,3,4,4,2,5
"Adem Büyük",5,8,3,5,7,4
"Berk Yildiz",NaN,0,3,0,1,0
"Issiar Dia",6,2,0,0,3,2
"Emanuel Dening",NaN,NaN,NaN,1,1,4
"Khalid Boutaïb",0,NaN,3,1,5,3
"Gilberto",1,6,2,2,0,0
"Eren Tozlu",4,0,2,1,0,2
"Jhon Murillo",NaN,0,0,1,8,0
"Samuel Eduok",NaN,NaN,4,0,3,2
