"name",12/13,13/14,14/15,15/16,16/17,17/18
"Célestin Djim",NaN,NaN,6,0,2,6
"Dani Schahin",8,0,0,5,3,10
"Jorn Vancamp",NaN,NaN,1,6,0,5
"Maecky Ngombo",NaN,NaN,NaN,13,0,1
"Torino Hunte",NaN,1,4,8,6,3
"Lugman Bezzat",NaN,NaN,0,2,0,0
"Vito van Crooij",0,0,5,14,14,5
"Romeo Castelen",0,6,4,7,4,0
"Lennart Thy",3,4,5,8,3,8
"Emil Riis",NaN,NaN,NaN,0,5,2
"Leroy Sané",1,13,9,9,9,12
"Raheem Sterling",3,11,11,11,10,20
"Bernardo Silva",NaN,7,10,7,11,7
"Sergio Agüero",17,28,32,29,33,30
"Gabriel Jesus",NaN,NaN,4,17,7,11
"Alexis Sánchez",11,21,25,17,30,9
"Anthony Martial",0,2,12,18,8,11
"Jesse Lingard",4,16,2,7,5,13
"Romelu Lukaku",17,16,20,25,26,23
"Marcus Rashford",NaN,NaN,1,12,11,12
"Zlatan Ibrahimovic",35,41,30,50,28,1
"Heung-Min Son",12,12,17,8,21,18
"Lucas",0,5,8,13,19,2
"Érik Lamela",15,1,5,11,2,1
"Harry Kane",5,12,31,28,35,35
"Fernando Llorente",5,18,9,7,15,5
"Eden Hazard",13,17,19,6,17,15
"Pedro",10,19,11,9,13,6
"Willian",8,4,4,11,12,13
"Álvaro Morata",14,9,15,12,20,12
"Olivier Giroud",17,22,19,24,16,8
"Sadio Mané",19,23,13,15,13,14
"Ben Woodburn",NaN,NaN,NaN,0,9,4
"Mohamed Salah",10,12,9,15,19,32
"Danny Ings",3,26,11,3,4,1
"Dominic Solanke",NaN,2,31,7,2,0
"Alex Iwobi",NaN,1,11,6,4,2
"Pierre-Emerick Aubameyang",21,16,25,39,40,24
"Alexandre Lacazette",4,22,31,23,37,9
"Danny Welbeck",2,10,8,5,5,5
"Yannick Bolasie",3,0,4,6,1,0
"Theo Walcott",21,6,7,9,19,6
"Cenk Tosun",11,14,9,17,24,16
"Dominic Calvert-Lewin",NaN,0,0,8,5,8
"Oumar Niasse",NaN,15,6,13,12,11
"Nathan Redmond",2,1,7,6,8,0
"Dusan Tadic",16,16,5,9,3,4
"Josh Sims",NaN,0,1,4,6,0
"Manolo Gabbiadini",7,10,20,9,11,4
"Charlie Austin",27,20,18,10,9,6
"Shane Long",11,7,7,13,5,1
"Guido Carrillo",4,15,16,5,8,8
"Marko Arnautovic",5,5,2,12,7,7
"Michail Antonio",8,4,15,13,9,3
"Chicharito",18,9,9,26,13,7
"Andy Carroll",7,2,5,9,7,2
"Jordan Hugill",NaN,10,6,5,13,10
"Demarai Gray",NaN,1,6,1,3,4
"Riyad Mahrez",5,9,4,18,10,11
"Jamie Vardy",5,16,5,24,16,16
"Kelechi Iheanacho",NaN,NaN,4,14,7,7
"Shinji Okazaki",4,15,14,6,6,7
"Fousseni Diabaté",NaN,NaN,NaN,NaN,0,5
"Bakary Sako",10,13,15,2,0,6
"Wilfried Zaha",8,1,4,5,7,4
"Andros Townsend",5,3,6,7,3,2
"Chung-Yong Lee",5,3,3,2,0,0
"Christian Benteke",27,11,16,10,17,2
"Connor Wickham",7,15,6,6,3,
"Alexander Sörloth",0,1,14,2,4,15
"Eric Maxim Choupo-Moting",1,11,10,9,3,4
"Jesé",22,8,4,6,5,1
"Ramadan Sobhi",NaN,3,8,6,0,4
"Xherdan Shaqiri",8,7,5,3,4,7
"Saido Berahino",5,11,20,9,3,0
"Mame Diouf",17,8,12,5,1,5
"Peter Crouch",8,9,10,2,10,4
"Richarlison",NaN,NaN,9,4,7,5
"Gerard Deulofeu",18,4,3,4,4,3
"André Carrillo",3,2,7,1,3,2
"Dodi Lukebakio",NaN,0,0,3,0,3
"Andre Gray",18,30,18,25,10,4
"Troy Deeney",20,25,21,15,10,6
"Stefano Okaka",7,5,4,17,4,1
"Jerome Sinclair",0,0,10,6,1,0
"Nacer Chadli",18,5,13,7,5,1
"James McClean",5,4,6,2,2,1
"Hal Robson-Kanu",7,4,4,5,3,2
"Oliver Burke",NaN,NaN,0,2,5,1
"Matt Phillips",4,3,3,8,5,2
"Jonathan Leko",NaN,NaN,0,0,1,0
"Daniel Sturridge",13,25,5,13,7,3
"José Salomón Rondón",13,20,20,10,8,8
"Jay Rodríguez",9,17,NaN,6,6,8
"André Ayew",12,8,11,12,6,6
"Wayne Routledge",5,6,4,2,3,1
"Kenji Gorré",NaN,NaN,0,8,1,9
"Luciano Narsingh",6,3,8,9,3,3
"Nathan Dyer",6,6,5,3,0,3
"Wilfried Bony",37,26,11,9,2,4
"Tammy Abraham",NaN,NaN,15,20,26,7
"Jordan Ayew",10,7,13,7,4,10
"Christian Atsu",1,5,0,2,5,2
"Jacob Murphy",9,4,8,10,9,1
"Islam Slimani",6,10,15,31,9,5
"Dwight Gayle",20,8,10,7,23,5
"Joselu",5,14,10,4,6,4
"Georges-Kevin N'Koudou",NaN,1,2,10,0,1
"Aaron Lennon",4,1,2,6,1,0
"Johann Berg Gudmundsson",6,9,11,6,1,2
"Jonathan Walters",11,5,11,8,4,0
"Chris Wood",23,8,2,13,30,9
"Sam Vokes",4,21,1,16,12,3
"Nahki Wells",26,22,14,18,10,0
"José Izquierdo",NaN,8,15,7,16,4
"Jirí Skalák",0,3,7,9,0,0
"Anthony Knockaert",9,7,3,12,15,3
"Jürgen Locadia",29,17,9,12,4,11
"Leonardo Ulloa",16,16,13,6,1,1
"Sam Baldock",10,26,4,4,12,1
"Glenn Murray",31,1,15,5,23,13
"Tomer Hemed",11,2,8,17,14,2
"Ryan Fraser",0,4,2,6,3,5
"Junior Stanislas",5,3,2,5,7,4
"Marc Pugh",8,5,9,5,2,1
"Jordon Ibe",1,3,5,4,0,1
"Callum Wilson",1,22,23,5,6,8
"Lys Mousset",NaN,0,0,14,0,2
"Jermain Defoe",15,22,4,18,15,3
"Tom Ince",18,8,12,12,15,2
"Rajiv van La Parra",5,7,2,2,2,5
"Sean Scannell",3,1,4,1,0,0
"Steve Mounié",NaN,0,0,11,15,8
"Laurent Depoitre",15,10,14,16,3,5
"Elias Kachunga",6,6,6,0,13,1
"Collin Quaner",2,2,6,2,11,0
"Ryan Babel",5,5,9,1,13,11
"Jeremain Lens",19,7,9,4,5,4
"Gökhan Töre",0,4,9,6,0,
"Ricardo Quaresma",NaN,9,10,5,6,4
"Cyle Larin",NaN,NaN,18,14,12,0
"Álvaro Negredo",31,23,6,12,10,13
"Vágner Love",12,23,14,4,23,13
"Mustafa Pektemek",2,3,5,1,9,4
"Garry Rodrigues",12,15,2,7,8,7
"Yasin Öztekin",4,7,5,10,11,5
"Sofiane Feghouli",6,7,6,5,4,6
"Sinan Gümüs",1,1,1,11,7,8
"Bafétimbi Gomis",21,22,10,7,21,28
"Eren Derdiyok",1,1,2,14,12,4
"Mathieu Valbuena",5,3,4,4,10,6
"Aatif Chahechouhe",8,17,17,12,7,3
"Samed Karakoc",NaN,NaN,0,0,1,1
"Vincent Janssen",6,11,22,32,6,3
"Roberto Soldado",30,11,5,8,4,6
"Fernandão",14,12,26,25,12,8
"Arda Turan",5,9,3,2,13,1
"Kerim Frei",0,0,4,5,5,4
"Eljero Elia",1,4,2,10,10,4
"Tunay Torun",1,3,5,2,3,0
"Riad Bajić",0,3,17,11,20,1
"Emmanuel Adebayor",8,14,2,1,7,14
"Mevlüt Erdinc",13,13,9,4,6,6
"Olcay Sahan",11,8,9,5,3,4
"Fabián Castillo",2,13,10,6,3,0
"Burak Yilmaz",32,18,22,21,8,18
"Hugo Rodallega",3,6,11,21,10,12
"Dame N'Doye",10,13,9,2,8,5
"Jirès Kembo-Ekoko",1,7,16,10,2,4
"Gheorghe Grozav",9,8,4,2,5,2
"Joshua John",12,9,5,4,2,0
"Dzon Delarge",4,4,7,2,3,5
"Sercan Yildirim",3,4,8,4,3,
"Moussa Sow",19,16,16,14,15,1
"Kubilay Kanatsizkus",NaN,NaN,NaN,4,7,0
"Bogdan Stancu",11,13,10,10,2,6
"Sinan Bakis",17,0,3,8,1,1
"Júnior Fernándes",1,19,7,15,12,13
"Lucas Villafañez",0,NaN,6,8,3,5
"Mbilla Etame",13,11,15,10,4,4
"Douglas",14,8,23,16,6,5
"Wanderson",13,12,13,8,3,1
"Glynor Plet",17,11,8,9,4,
"Moryké Fofana",1,8,9,2,2,3
"Ömer Ali Sahiner",2,2,4,3,5,5
"Volkan Sen",4,1,17,7,1,2
"Adis Jahovic",12,12,18,3,21,16
"Samuel Eto'o",21,14,6,20,18,7
"Mustapha Yatabaré",22,20,5,5,6,6
"Ryan Mendes",4,3,3,2,2,6
"Silvestre Varela",7,11,5,3,0,2
"William",0,4,6,4,3,3
"Asamoah Gyan",1,12,23,3,8,4
"Artem Kravets",2,3,19,4,5,8
"Nikola Stojiljkovic",8,7,14,18,9,2
"Umut Bulut",15,9,12,7,6,14
"Yoan Gouffran",15,7,2,0,7,1
"Muhammed Enes Durmus",NaN,NaN,0,1,2,0
"Demba Ba",19,8,39,17,1,4
"Nabil Ghilas",16,4,7,0,8,2
"Ömer Sismanoglu",14,3,10,7,3,1
"Robinho",2,9,5,12,9,3
"Cyriac",0,5,6,14,8,2
